新龙花苑	9193	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
新城域	12227	普通住宅	1.0元/平方米·月	450000m²	4826户	2011年	1:0.8	2.2	30%(一般)	新城地产	新城物业	
丰乐尚都	11146	暂无数据	0.5元/平米·月	暂无数据	暂无数据	暂无数据	300	3	20%(一般)	暂无数据	暂无资料	
晓柳花苑	4101	暂无数据	0.2元/平米·月	暂无数据	暂无数据	暂无数据	120	2	42%(高)	暂无数据	暂无资料	
大学新村	6208	暂无数据	0.2元/平米·月	暂无数据	暂无数据	暂无数据	2009-01-01	2	10%(低)	暂无数据	暂无资料	
九洲新家园	12363	普通住宅	0.82元/平方米·月	125000m²	1043户	2010年	地下8000个	2.99	30%(一般)	常州九洲福源房地产开发有限公司	九洲物业	
金梅花园	10769	普通住宅	0.56元/平方米·月	330000m²	2601户	2007年	1:0.7	2.2	25%(一般)	常州金新房地产建设发展有限公司	常州中房物业有限公司	
湖港名居	10391	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
五洲国际广场	7914	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
格兰艺堡	13022	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
新城花苑	8933	暂无数据	0.35元/平方米·月	暂无数据	暂无数据	暂无数据	1：0.6	1.6	22%(一般)	暂无数据	暂无资料	
中天名园	11434	普通住宅	0.65元/平方米·月	300000m²	1500户	2011年	1000多个	1.78	41%(高)	常州中钢房地产建设发展有限公司	天驰物业	
嘉盛苑	10974	普通住宅	0.7元/平方米·月	31000m²	218户	2005年	地下192个	2.19	30%(一般)	常州嘉源房地产开发有限公司	常州市同安物业管理有限公司	
青山湾（普宅）	19466	普通住宅	0.78元/平方米·月	150000m²	1200户	2008年	地下停车库	2.5	30%(一般)	常州金新房地产开发有限公司	常州金新房物业有限公司	
嘉禾尚郡	12706	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
新城首府	19036	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
香溢紫郡	12534	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
清潭六村	7540	普通住宅	0.30元/平方米·月	42000m²	600户	2000年	地面停车场	暂无数据	暂无数据	常州房地产开发公司	小区物业	
高成莱茵三期	14511	暂无数据	1.02元/平方米·月	暂无数据	暂无数据	暂无数据	800 总数：800个 比例：0:800	2	35%(一般)	暂无数据	FPDsavills	
盘龙苑	7869	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	搜房评估参考价：4926元/平方米	
水木年华	11946	普通住宅	0.80元/平方米·月	180000m²	308户	2006年	地下225个	1.5	40%(高)	常州广安房地产开发有限公司	常州广安物业开发有限公司	
阳湖名城	11824	普通住宅	0.65元/平方米·月	350000m²	2200户	2008年	地下停车库	1.63	35%(一般)	常州武进建设房地产开发有限公司	常州武进建设物业有限公司	
